,Company,Country,Ticker,Fossil Free Funds: Coal screen,Fossil Free Funds: Oil / gas screen,Fossil Free Funds: Macroclimate30 coal-fired utility screen,Fossil Free Funds: Fossil-fired utility screen,Fossil Free Funds: Fossil fuel finance screen,Fossil Free Funds: Fossil fuel finance risk score,Fossil Free Funds: Fossil fuel insurance screen,Fossil Free Funds: Fossil fuel insurance risk score,Fossil Free Funds: Clean200 screen,Deforestation Free Funds: Producer screen,Deforestation Free Funds: Financier screen,Deforestation Free Funds: Consumer brand screen,Deforestation Free Funds: Palm oil producer screen,Deforestation Free Funds: Palm oil consumer brand screen,Deforestation Free Funds: Paper / pulp producer screen,Deforestation Free Funds: Paper / pulp consumer brand screen,Deforestation Free Funds: Rubber producer screen,Deforestation Free Funds: Rubber consumer brand screen,Deforestation Free Funds: Timber producer screen,Deforestation Free Funds: Timber consumer brand screen,Deforestation Free Funds: Cattle producer screen,Deforestation Free Funds: Cattle consumer brand screen,Deforestation Free Funds: Soy producer screen,Deforestation Free Funds: Soy consumer brand screen,Gender Equality Funds: Has Equileap gender equality score,Gun Free Funds: Gun manufacturers screen,Gun Free Funds: Gun retailers screen,Prison Free Funds: Prison industry screen,Prison Free Funds: Border industry screen,Prison Free Funds: Higher risk screen,Prison Free Funds: Private prison operators screen,Weapons Free Funds: Military contractors screen,Weapons Free Funds: Nuclear weapons screen,Weapons Free Funds: Controversial weapons screen,Tobacco Free Funds: Tobacco producers screen,Tobacco Free Funds: Tobacco-promoting entertainment companies screen,Beta Value,Company_Name,Industry (Exiobase),Total Environmental Cost,Biodiversity,Abiotic Resources,SDG 1.5,SDG 2.1,SDG 2.2,SDG 2.3,SDG 2.4,SDG 3.3,SDG 3.4,SDG 3.9,SDG 6,SDG 12.2,SDG 14.1,SDG 14.2,SDG 14.3,SDG 14.c,SDG 15.1,SDG 15.2,SDG 15.5,Environmental Index
2705,Marathon Petroleum Corp,United States,MPC,0,1,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.501,MARATHON PETROLEUM CORP," Extraction of natural gas and services related to natural gas extraction, excluding surveying ",0.738446984,0.830568303,0.959541721,0.736207342,0.838310703,0.838228941,0.73434155,0.73434155,0.839151284,0.049757171,0.940313498,0.608254746,0.959541721,0.947476089,0.534233038,0.844003211,0.947476054,0.066401953,0.066401953,0.743027284,0.07
2706,Marriott International Inc,United States,MAR,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.643,MARRIOTT INTL INC,Other service activities (93),0.828833586,0.949706668,0.999984399,0.839530149,0.949665534,0.949617217,0.837843074,0.837843074,0.950088754,0.058775099,0.9999508,0.599486648,0.999984399,0.999798993,0.999351472,0.952449788,0.999797205,0.020822962,0.020822962,0.848265614,0.0
2707,Marriott International Inc,United States,MAR,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.643,MARRIOTT INTL INC,Other service activities (93),0.837042902,0.958441282,0.999984859,0.848119875,0.958408985,0.958369172,0.84629652,0.84629652,0.95875835,0.058775194,0.999952222,0.599802129,0.999984859,0.999804082,0.999366913,0.960708892,0.999803609,0.020819062,0.020819062,0.856762186,0.0
2708,Marriott International Inc,United States,MAR,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.643,MARRIOTT INTL INC,Other service activities (93),0.832054833,0.952365418,0.999985107,0.842143246,0.952326512,0.952280755,0.840415126,0.840415126,0.952727341,0.058775246,0.999953075,0.600276682,0.999985107,0.999806626,0.999382354,0.954963562,0.999807878,0.020816857,0.020816857,0.850850324,0.0
2709,Marriott International Inc,United States,MAR,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.643,MARRIOTT INTL INC,Other service activities (93),0.829233789,0.949548039,0.999989771,0.839359613,0.949502488,0.949453744,0.837679159,0.837679159,0.949927893,0.058776214,0.999967769,0.600015578,0.999989771,0.999867692,0.999583089,0.952297416,0.999867649,0.02077684,0.02077684,0.848096924,0.0
2710,Marriott International Inc,United States,MAR,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.643,MARRIOTT INTL INC, Other service activities (93) ,0.856274458,0.969332409,0.999991846,0.858813117,0.969306166,0.969276632,0.856824776,0.856824776,0.969564444,0.058776645,0.99997431,0.608836244,0.999991846,0.999893135,0.999660295,0.97100434,0.999893266,0.020758866,0.020758866,0.867339959,0.0
2711,Marriott International Inc,United States,MAR,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.643,MARRIOTT INTL INC, Other service activities (93) ,0.850221834,0.97030421,0.999992847,0.859766337,0.970278308,0.970249671,0.857763561,0.857763561,0.970528517,0.058776853,0.999977533,0.602188182,0.999992847,0.999908402,0.999706618,0.971922925,0.999908209,0.020750218,0.020750218,0.868282883,0.0
2712,Marriott International Inc,United States,MAR,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.643,MARRIOTT INTL INC, Other service activities (93) ,0.856259732,0.972351105,0.999994132,0.861775799,0.972326037,0.972299333,0.859742001,0.859742001,0.972559126,0.058777119,0.999981609,0.606211837,0.999994132,0.999923668,0.999752942,0.973857686,0.999923151,0.020739196,0.020739196,0.870270766,0.0
2713,Marriott International Inc,United States,MAR,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.643,MARRIOTT INTL INC, Other service activities (93) ,0.857288315,0.971808815,0.999994135,0.861242476,0.971783234,0.971756001,0.85921716,0.85921716,0.972020913,0.05877712,0.999981609,0.607668325,0.999994135,0.999923668,0.999752942,0.973344882,0.999923151,0.020739196,0.020739196,0.86974316,0.0
2714,Marriott International Inc,United States,MAR,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.643,MARRIOTT INTL INC, Other service activities (93) ,0.862029915,0.976889689,0.999990348,0.866250143,0.976872578,0.976850496,0.864142434,0.864142434,0.977066658,0.058776334,0.99996957,0.60781368,0.999990348,0.999875325,0.99959853,0.978151129,0.999874054,0.020771753,0.020771753,0.874696716,0.0
