Headline,Summary,Link,Date
MetLife Named to Fortune Magazine’s List of the World’s Most Admired Companies,"MetLife, Inc. (NYSE: MET) today announced that it has been named to Fortune magazine’s 2024 list of the “World’s Most Admired Companies.” This year’s list included eight life insurers in the annual report card of the best-regarded companies.",https://www.csrwire.com/press_releases/794521-metlife-named-fortune-magazines-list-worlds-most-admired-companies,02/08/24
Whirlpool Corporation: House+Home Ambassador Program,"The House+Home Ambassador Program (HHAP) is our human-centric approach to volunteerism here at Whirlpool Corporation, which puts empathy and human connection at its center — allowing employees the opportunity to experience the direct impact of their volunteer projects. ",https://www.csrwire.com/press_releases/794516-whirlpool-corporation-househome-ambassador-program,02/08/24
Essity on CDP’s Prestigious A List for Sustainability,The Hygiene and health company Essity has once again been awarded a place on CDP’s ‘A List’ for its leadership in corporate transparency and performance on forests by the global non-profit environmental organization CDP. ,https://www.csrwire.com/press_releases/794511-essity-cdps-prestigious-list-sustainability,02/08/24
A Deep Dive Into Nasdaq's ESG Solutions,"Randall Hopkins, Global Head of ESG Solutions at Nasdaq, discusses how Nasdaq helps companies streamline ESG data management, foster collaboration, and prioritize for stakeholder impact.",https://www.csrwire.com/press_releases/794506-deep-dive-nasdaqs-esg-solutions,02/08/24
Fifth Third Named One of America’s Most JUST Companies by JUST Capital and CNBC,"For a second consecutive year, Fifth Third was named to the JUST 100 list, part of JUST Capital and CNBC’s 2024 Rankings of America’s Most JUST Companies.",https://www.csrwire.com/press_releases/794501-fifth-third-named-one-americas-most-just-companies-just-capital-and-cnbc,02/08/24
Frito-Lay and Quaker Focus on Community Commitment: Major Donations and Scholarship Initiatives Mark 2023’s Impact,"As active contributors to the community, Frito-Lay and Quaker’s commitment to service is rooted in a strong drive to make a long-lasting positive impact.",https://www.csrwire.com/press_releases/794496-frito-lay-and-quaker-focus-community-commitment-major-donations-and,02/08/24
Del Monte Foods Earns Top Score in Human Rights Campaign Foundation's 2023-2024 Corporate Equality Index,"Del Monte Foods, Inc. proudly announced that it received a score of 100 on the Human Rights Campaign Foundation's 2023-2024 Corporate Equality Index (CEI), the nation's foremost benchmarking survey and report measuring corporate policies and practices related to LGBTQ+ workplace.",https://www.csrwire.com/press_releases/794491-del-monte-foods-earns-top-score-human-rights-campaign-foundations-2023-2024,02/08/24
Palm Oil and SAP Software Give Ugandan Farmers New Hope,"Much has changed for Nassozi Berna, her husband, and their seven children since she began farming oil palm trees on Kalangala, an island in Uganda’s Lake Victoria, 11 years ago. ",https://www.csrwire.com/press_releases/794486-palm-oil-and-sap-software-give-ugandan-farmers-new-hope,02/08/24
Southern Company Issues Annual Moving to Equity Report for 2023,"Southern Company today publishes its latest Moving to Equity report, showing notable achievements and impactful initiatives regarding the company’s strategy to foster a more inclusive and equitable culture.",https://www.csrwire.com/press_releases/794481-southern-company-issues-annual-moving-equity-report-2023,02/08/24
Tackling Scope 3 Emissions in Manufacturing,A recently published World Economic Forum (WEF) white paper – “The 'No-Excuse' Opportunities to Tackle Scope 3 Emissions in Manufacturing and Value Chains” – serves as a practical roadmap for businesses navigating the intricate terrain of Scope 3 decarbonization.,https://www.csrwire.com/press_releases/794476-tackling-scope-3-emissions-manufacturing,02/08/24
Three Steps to Cultivating Skilled Workforces Through Apprenticeships,"In the highly competitive construction industry, the strength of our labor force is critical. If a company can’t get the skilled construction tradespeople they need to complete a project, their position in the market may become obsolete. ",https://www.csrwire.com/press_releases/794471-three-steps-cultivating-skilled-workforces-through-apprenticeships,02/08/24
Lenovo and NAF Celebrate 10 Years of Helping Students Be Future-Ready,"This year, Lenovo and NAF are celebrating the 10-year anniversary of their partnership. ",https://www.csrwire.com/press_releases/794466-lenovo-and-naf-celebrate-10-years-helping-students-be-future-ready,02/08/24
Thai Union Is Driving Alignment and Improvement in the Seafood Sector Using the SSCI Benchmark Tool,"Seafood is one of the most traded commodities in the world and also one of the largest industries, with the sector employing at least 260 million workers worldwide. However, it is one of the most at-risk industries from a social sustainability perspective.",https://www.csrwire.com/press_releases/794461-thai-union-driving-alignment-and-improvement-seafood-sector-using-ssci,02/08/24
U.S. Conference of Mayors and Comcast Announce Digital Equity Challenge,The U.S. Conference of Mayors (USCM) and Comcast Corporation today announced a new $1.5 million grant awards program – Talent for Tomorrow: Digital Equity Challenge (The Challenge).,https://www.csrwire.com/press_releases/794456-us-conference-mayors-and-comcast-announce-digital-equity-challenge,02/08/24
"Elanco CEO, Jeff Simmons Launches Mission to Save 1 Million Puppies from Deadly Parvo","Last week I went out to that JP Morgan Healthcare Conference in San Francisco. Check them with thirteen companies. But there are other presenters that didn't get a chance to speak with. Take Alanco animal health, which makes medicine and vaccines for both pets and livestock.",https://www.csrwire.com/press_releases/794451-elanco-ceo-jeff-simmons-launches-mission-save-1-million-puppies-deadly-parvo,02/08/24
Tapestry Named to Fortune's World's Most Admired Companies,We’re thrilled to share that Tapestry has been named one of Fortune’s 2024 World’s Most Admired Companies for the first time! This annual list is considered one of the leading measures of corporate reputation among the world's largest companies.,https://www.csrwire.com/press_releases/794446-tapestry-named-fortunes-worlds-most-admired-companies,02/08/24
HARMAN Joins Eclipse Foundation’s Software Defined Vehicle Working Group — Paving The Path Forward For The Future of Automotive Software,"To shape the industry-wide effort to build a vendor-agnostic, open source ecosystem focused on creating the foundation for a new era in automotive, HARMAN announced it has joined the Eclipse Software Defined Vehicle (SDV) Working Group at The Eclipse Foundation.",https://www.csrwire.com/press_releases/794441-harman-joins-eclipse-foundations-software-defined-vehicle-working-group,02/08/24
Pepco Advocates for Continued Energy Assistance Funding and Reminds Customers to Act Now to Secure Support,Today is Low-Income Home Energy Assistance Program (LIHEAP) Action Day and Pepco employees are on Capitol Hill to meet with representatives and advocates for policies that protect funding for LIHEAP and support vulnerable households in the District of Columbia and Maryland.,https://www.csrwire.com/press_releases/794436-pepco-advocates-continued-energy-assistance-funding-and-reminds-customers-act,02/08/24
Hospital CIOs Weigh 5G As Digitized Medicine Pushes Wi-Fi to Its Limits,"With electronic records, medical devices, AR and VR, and AI apps to come, some hospital CIOs are evaluating private 5G networks to prepare for the inevitably bigger digital loads ahead.",https://www.csrwire.com/press_releases/794431-hospital-cios-weigh-5g-digitized-medicine-pushes-wi-fi-its-limits,02/08/24
